Movie,Genre1,Genre2,Genre3,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98
12YearsASlave,Drama,NaN,NaN,0.309730813,0.857899356,0.808811369,-0.397807026,-0.365641946,1.711135572,0.736599858,0.415004628,0.249631235,0.174634404,0.290764136,0.298495551,0.537164575,-0.355417014,0.075794951,0.882571734,1.488923193,3.037522963,0.210417254,0.414747561,0.252552164,0.573447558,0.904567583,-0.261688158,-0.146955039,-0.285891978,1.448003339,-0.444948383,-0.282000882,0.430566694,-0.37193302,-0.830808235,-1.159179808,-0.134573279,0.142821863,0.737355885,0.689812718,0.4280969,-0.413009701,-0.239986747,1.723560447,0.759758643,1.377064899,0.280132553,-0.611307037,-0.587280863,-0.707220172,0.372297721,0.291797751,-0.255278386
500DaysOfSummer,Romance,Drama,Comedy,1.12255126,1.022444251,0.75850828,0.294319871,0.072093141,1.440880445,2.64644566,1.04258028,3.00453556,0.542307731,1.00681164,0.014785424,0.947800414,1.168872166,3.045889937,0.578301671,2.059406903,1.533914319,-0.938858001,1.125257975,-0.167670642,0.15421671,0.867676928,1.373600726,1.888362041,0.855732827,1.672462688,0.793051064,0.517600369,1.649842453,1.974457915,-0.289085935,1.936025084,2.262074668,0.944519043,0.558901599,2.025744915,0.757701388,-0.550173755,1.662856373,1.895116071,0.907631526,0.618062595,1.562903241,0.655743312,1.431729625,1.634100545,1.099518655,1.048555742,0.534242687
AboutTime,Romance,Drama,Fantasy,0.446848426,1.238289358,0.011787785,0.879609695,0.363070266,-0.39212367,2.696617078,2.513429844,-0.591222332,-0.508077575,1.281809557,-0.092301242,1.642715096,0.461367682,1.451538552,2.099619989,0.846758934,1.974962002,-0.559254245,0.535515175,0.606956675,1.693559619,1.930343152,0.641923291,1.314544816,1.586935627,1.956820443,1.066887146,1.174419277,1.858912159,0.109835395,0.476241553,-0.073098371,-0.514492358,-0.452056571,-0.926862284,-0.109893065,2.181138466,-0.225384657,0.270003005,0.759216965,0.554678983,0.315812935,0.303232702,-0.852645893,0.094955269,1.36844959,1.964913391,1.123278285,1.055733919
AliceInWonderLand,Adventure,Fantasy,NaN,-0.317549777,0.989184036,-0.042845802,0.363579844,0.598423778,1.447670094,-0.521723802,-1.111296167,0.027285962,-0.533348927,0.424819409,0.503800266,1.278435858,0.944182289,-0.499143932,0.08935659,-0.133590069,-0.333460518,-0.193552782,-0.430606141,-0.174081079,-0.751489417,2.909219941,1.209660937,0.500293291,0.848569202,0.272670934,0.213513315,-0.440196575,0.879567049,0.611598597,0.509981913,-0.163134539,0.19838953,1.316667419,0.385410706,0.279661865,0.260953396,0.079124786,0.842585356,0.971214809,0.23018516,0.807191644,0.849216126,-0.422160451,-1.032305004,-1.040254703,-1.078021466,-1.599281565,-0.397136889
Amelie,Comedy,Romance,NaN,0.651664052,1.569547575,3.169018305,4.12327288,0.7567851,0.107674424,0.552518366,0.166543813,1.073788165,0.283166954,0.817984475,0.068612253,-0.306019004,1.60022066,0.763911956,0.764501958,-0.77817622,-0.292663067,0.845655841,0.24436479,-0.018388034,0.098580145,0.533627154,-0.001477495,0.910029139,1.528812449,1.068187734,2.099842404,0.777809082,1.49994173,1.721721888,4.340407312,1.239383326,0.403489135,0.613105692,2.222805282,0.686267758,0.304193983,-0.369391619,0.511904974,1.288942471,0.590567651,1.39551278,0.486444508,0.481237812,1.407020475,2.117121977,1.63028363,1.439253504,1.477099492
AmericanBeauty,Drama,NaN,NaN,0.447278181,1.352185393,0.741738105,0.660351843,-0.273770899,2.068227093,0.217751148,0.158509011,0.4276582,1.813955264,3.20988958,1.024727148,2.541503171,1.708056451,0.481463935,0.14495962,2.253697093,2.708430174,0.584472,1.444780177,-1.027243126,0.873941207,0.516414636,0.893759265,0.968592268,-0.230242024,0.320053324,-0.325920584,1.851619856,0.630371522,0.568833899,0.168727183,0.728768625,1.107538488,0.471025615,0.197932067,0.965596905,2.287008462,1.543773824,1.208065651,1.15263675,0.027245501,2.15097858,1.140851012,-0.15385512,-0.486908373,0.310371474,1.595820146,0.466280578,0.790901759
AQuietPlace,Horror,Drama,SciFi,1.064690629,-0.360064313,-0.05380777,-0.133230258,0.01649692,0.104288065,-0.654873404,0.047067727,-0.795953633,-0.562739358,-0.009632139,-0.52840928,-0.65865907,-0.335749454,-0.753138154,-0.877867347,-0.427652627,-0.109467675,-0.272245174,-0.07426574,-0.442888496,-0.574828182,-0.446706118,-0.956420281,-0.113388496,-0.219952105,-0.009535136,0.200718278,0.169608721,-0.739996629,-0.486972535,0.130463512,0.247015676,-0.446196213,-0.580760967,-0.414142344,0.13880099,-0.295064447,-0.501696596,-0.215310356,-0.163841762,0.790701291,-0.209785406,0.021396477,1.009499252,0.409797162,0.425096481,0.125837481,0.25392288,-0.102769562
Arrival,Drama,SciFi,NaN,-0.918147938,-1.011351095,-0.573103123,-0.607753525,-0.88161916,-1.287663829,-0.52443932,-0.956490193,-0.712336058,-1.205650093,-1.009005304,-0.855847353,-0.688125452,-0.751102732,-0.823569121,-0.825064201,-1.387442217,-1.080649656,-0.800980421,-1.095366942,-0.781231185,-1.279874508,-1.368181838,-1.326844711,-1.262909182,-0.859140204,-1.150440566,-0.790944869,-0.565411365,-0.770419529,-0.025728744,-0.403736952,-0.774803152,-0.75178305,0.064292763,-0.344668505,-0.397850233,-0.345929914,-1.14526649,-1.11848893,-1.181728428,-1.055239471,-1.245959864,-1.474090016,-0.02358539,-0.411717215,-0.793180336,-0.684595035,-0.59014132,-0.248810075
Avatar,Action,Adventure,Fantasy,-1.003897388,-0.791563243,-0.704581297,-0.34304267,-0.667052508,0.23196056,-0.101680408,-0.03961411,-0.725102769,-0.286068631,-0.309739082,-0.560027126,-0.124540646,0.67195448,-0.217805976,-0.864566564,0.287925915,-0.856407643,-0.823240542,-0.119030596,-0.361628424,-0.176570164,-0.888621005,-0.597369492,-0.739711762,-0.481764854,0.157499112,-0.104357429,1.130824873,0.031230226,1.07734165,-0.05764051,-0.007077556,-0.218684755,0.123488867,-0.335625922,-0.37791838,-0.780504123,0.349926566,-0.546010423,-0.334090838,-0.08624545,1.299282932,2.665229408,-0.038158766,-0.043819661,0.953648119,-0.770426626,-0.346637572,0.684032035
